Density,Vertices,Avg Time from matrix (ms),Avg Time from list (ms),Avg Edges
0.5,20,0.16098200000000001,0.1722074,16.0
0.5,40,0.7428518000000001,0.9180211999999999,31.2
0.5,60,1.8656602,2.6919124,50.8
0.5,80,3.3739968000000005,5.445180000000001,71.0
0.5,100,5.6630106,9.518170399999999,90.4
0.5,120,10.418937600000001,16.3529562,109.0
0.5,140,17.124327400000002,26.3244014,129.2
0.5,160,21.346563600000003,38.977996399999995,150.2
0.5,180,29.981663799999996,54.59976019999999,169.4
0.5,200,42.484767399999996,72.601923,190.0
0.6,20,0.1478664,0.1746854,15.6
0.6,40,0.6478151999999999,0.8975795999999999,32.8
0.6,60,1.8199087999999999,2.8649632000000005,51.8
0.6,80,3.9001622000000005,6.7382148,71.0
0.6,100,7.1710498000000005,12.163010199999999,92.8
0.6,120,12.0942328,19.9148244,110.4
0.6,140,18.892429400000005,32.2442766,131.8
0.6,160,26.090311800000006,47.2260538,150.4
0.6,180,39.4657732,70.2100928,172.6
0.6,200,49.637114000000004,89.526961,193.2
0.7,20,0.16606720000000003,0.20240460000000002,15.6
0.7,40,0.7643321999999999,1.0705508,33.0
0.7,60,2.1283696,3.322678,52.8
0.7,80,4.4846028,7.548763199999999,73.6
0.7,100,8.5829994,14.723461,92.4
0.7,120,13.861546200000001,23.9556916,111.8
0.7,140,22.206897000000005,37.5087236,132.8
0.7,160,30.514545,55.155038000000005,153.4
0.7,180,43.5446964,77.3120936,173.2
0.7,200,60.949784199999996,108.96029759999999,192.0
0.8,20,0.18662260000000003,0.22624359999999996,15.0
0.8,40,0.8296585999999999,1.2357248,32.4
0.8,60,2.5494925999999998,4.046457,53.2
0.8,80,4.9274036,8.5000424,72.2
0.8,100,9.7643006,16.6076404,92.6
0.8,120,15.8337152,28.2325732,113.4
0.8,140,25.8278888,43.8759118,133.4
0.8,160,34.873688800000004,63.2882744,153.8
0.8,180,49.2158644,90.7683208,173.8
0.8,200,65.0849994,122.62677479999999,193.0
0.9,20,0.2074122,0.26276520000000003,16.2
0.9,40,1.1350326,1.7242362,34.6
0.9,60,2.7753112,4.6305582,55.2
0.9,80,5.9747498,9.844461,74.8
0.9,100,10.698879999999999,18.579605800000003,94.8
0.9,120,16.8710904,33.6218548,112.4
0.9,140,26.2543832,45.450587,133.6
0.9,160,37.7280864,67.123713,153.8
0.9,180,52.209043199999996,94.2580652,174.0
0.9,200,68.88682440000001,132.3189442,193.8
